Name,Difficulty,Frequency,Data Structure,Algorithms,Times,Description
Implement strStr(),4,5,string,two pointersKMProlling hash,1,
Merge Intervals,4,5,arraylinked listred-black tree,sortmerge,1,
Insert Interval,4,5,arraylinked listred-black tree,sortmerge,1,
3Sum,3,5,array,two pointers,2,Remove Repeat
"Pow(x, n)",3,5,,binary searchmath,2,n < 0
Set Matrix Zeroes,3,5,array,,1,
Validate Binary Search Tree,3,5,tree,dfs,1,
Word Ladder,3,5,graph,bfsshortest path,1,
Two Sum,2,5,arrayset,sorttwo pointers,,
String to Integer (atoi),2,5,string,math,2,
Valid Parentheses,2,5,string,stack,1,
Merge Two Sorted Lists,2,5,linked list,sorttwo pointersmerge,1,
Valid Number,2,5,string,math,3,"""."""
Climbing Stairs,2,5,,dp,1,
Merge Sorted Array,2,5,array,two pointersmerge,1,
Valid Palindrome,2,5,string,two pointers,2,number
Sqrt(x),4,4,,binary search,,
Add Two Numbers,3,4,linked list,two pointersmath,1,
Integer to Roman,3,4,,math,1,
Generate Parentheses,3,4,string,dfs,1,
Merge k Sorted Lists,3,4,linked listheap,sorttwo pointersmerge,1,
Permutations,3,4,array,permutation,1,
Anagrams,3,4,stringhashtable,,2,for (Object value : map.values())
Combinations,3,4,,combination,1,
Subsets,3,4,array,recursioncombination,2,sort first
Word Search,3,4,array,dfs,,
Decode Ways,3,4,string,recursiondp,3,"100, 230"
Binary Tree Level Order Traversal,3,4,tree,bfs,1,
Palindrome Partitioning,3,4,string,dfs,,
Roman to Integer,2,4,,math,1,
Swap Nodes in Pairs,2,4,linked list,,1,
Add Binary,2,4,string,two pointersmath,2,reverse order
Sum Root to Leaf Numbers,2,4,tree,dfs,1,
Remove Element,1,4,array,two pointers,1,
Median of Two Sorted Arrays,5,3,array,binary search,,
Regular Expression Matching,5,3,string,recursiondp,,
Wildcard Matching,5,3,string,recursiondpgreedy,,
Search in Rotated Sorted Array II,5,3,array,binary search,,
Divide Two Integers,4,3,,binary searchmath,3,shift
Search in Rotated Sorted Array,4,3,array,binary search,2,
Search for a Range,4,3,array,binary search,1,
Multiply Strings,4,3,string,two pointersmath,2,Not that Simple
N-Queens,4,3,array,dfs,2,Math.abs
N-Queens II,4,3,array,dfs,1,
Edit Distance,4,3,string,dp,1,
Binary Tree Inorder Traversal,4,3,treehashtable,recursionmorrisstack,1,
Binary Tree Zigzag Level Order Traversal,4,3,queuetree,bfsstack,2,
Convert Sorted List to Binary Search Tree,4,3,linked list,recursiontwo pointers,1,
Longest Consecutive Sequence,4,3,array,,1,
Surrounded Regions,4,3,array,bfsdfs,2,stackoverflowerror
Palindrome Partitioning II,4,3,string,dp,5,god bless
Letter Combinations of a Phone Number,3,3,string,dfs,2,
Combination Sum,3,3,array,combination,1,
Maximum Subarray,3,3,array,dp,,
Unique Paths II,3,3,array,dp,1,
Minimum Path Sum,3,3,array,dp,1,
Search a 2D Matrix,3,3,array,binary search,1,
Remove Duplicates from Sorted List II,3,3,linked list,recursiontwo pointers,,
Partition List,3,3,linked list,two pointers,1,
Restore IP Addresses,3,3,string,dfs,1,
Construct Binary Tree from Preorder and Inorder Tr,3,3,arraytree,dfs,1,
Construct Binary Tree from Inorder and Postorder T,3,3,arraytree,dfs,1,
Flatten Binary Tree to Linked List,3,3,tree,recursionstack,1,
Populating Next Right Pointers in Each Node,3,3,tree,dfs,1,
Reverse Integer,2,3,,math,1,
Remove Nth Node From End of List,2,3,linked list,two pointers,1,
Unique Paths,2,3,array,dp,1,
Convert Sorted Array to Binary Search Tree,2,3,tree,dfs,1,
Remove Duplicates from Sorted Array,1,3,array,two pointers,3,
Remove Duplicates from Sorted List,1,3,linked list,,2,
Path Sum,1,3,tree,dfs,1,
Next Permutation,5,2,array,permutation,,
First Missing Positive,5,2,array,sort,2,"{1,1}"
Largest Rectangle in Histogram,5,2,array,stack,10,
Scramble String,5,2,string,recursiondp,,
Interleaving String,5,2,string,recursiondp,1,
Longest Palindromic Substring,4,2,string,,2,
Reverse Nodes in k-Group,4,2,linked list,recursiontwo pointers,2,
Sudoku Solver,4,2,array,dfs,2,
Combination Sum II,4,2,array,combination,1,
Trapping Rain Water,4,2,array,two pointersstack,1,
Jump Game II,4,2,array,,,
Permutations II,4,2,array,permutation,1,
Rotate Image,4,2,array,,1,
Spiral Matrix,4,2,array,,,
Text Justification,4,2,string,,,
Sort Colors,4,2,array,sorttwo pointers,1,
Minimum Window Substring,4,2,string,two pointers,3,ArrayList.remove() expensive
Gray Code,4,2,,combination,1,
Subsets II,4,2,array,recursioncombination,1,
Recover Binary Search Tree,4,2,tree,dfs,,
Distinct Subsequences,4,2,string,dp,,
Populating Next Right Pointers in Each Node II,4,2,tree,dfs,1,
Binary Tree Maximum Path Sum,4,2,tree,dfs,1,
Longest Substring Without Repeating Characters,3,2,stringhashtable,two pointers,2,
Container With Most Water,3,2,array,two pointers,2,
4Sum,3,2,array,,2,
Jump Game,3,2,array,,1,
Spiral Matrix II,3,2,array,,,
Rotate List,3,2,linked list,two pointers,2,
Reverse Linked List II,3,2,linked list,two pointers,1,
Palindrome Number,2,2,,math,2,
Search Insert Position,2,2,array,,2,binary search
Valid Sudoku,2,2,array,,1,
Count and Say,2,2,string,two pointers,1,
Remove Duplicates from Sorted Array II,2,2,array,two pointers,1,
Path Sum II,2,2,tree,dfs,1,
Plus One,1,2,array,math,1,
Symmetric Tree,1,2,tree,dfs,1,
Balanced Binary Tree,1,2,tree,dfs,1,
Permutation Sequence,5,1,,permutationmath,3,
Maximal Rectangle,5,1,array,dpstack,,
Longest Valid Parentheses,4,1,string,dp,,
Unique Binary Search Trees II,4,1,tree,dpdfs,,
Best Time to Buy and Sell Stock III,4,1,array,dp,,
ZigZag Conversion,3,1,string,,2,nRows == 1
3Sum Closest,3,1,array,two pointers,1,
Substring with Concatenation of All Words,3,1,string,two pointers,,
Simplify Path,3,1,string,stack,1,
Unique Binary Search Trees,3,1,tree,dp,,
Binary Tree Level Order Traversal II,3,1,tree,bfs,1,
Triangle,3,1,array,dp,1,
Best Time to Buy and Sell Stock II,3,1,array,greedy,1,
Longest Common Prefix,2,1,string,,1,
Pascal's Triangle,2,1,array,,1,
Pascal's Triangle II,2,1,array,,1,
Best Time to Buy and Sell Stock,2,1,array,dp,1,
Length of Last Word,1,1,string,,1,
Same Tree,1,1,tree,dfs,1,
Maximum Depth of Binary Tree,1,1,tree,dfs,1,
Minimum Depth of Binary Tree,1,1,tree,dfs,1,
Word Ladder II,1,1,,,,